ObjectID,vehicle_types,State,District,LOR_ab_2021,AccidentYear,AccidentMonth,AccidentHour,DayOfWeek,AccidentCategory,AccidentType,AccidentTypeDetail,LightingCondition,InvolvingBike,InvolvingCar,InvolvingPedestrian,RoadCondition,GraphicCoord1,GraphicCoord2,LongitudeWGS84,LatitudeWGS84,accident_outcome
217572,car,11,12,12601235.0,2021,11,18,3,3,2,2,1,0,1,0,0,795448.6174,5836390.603,13.36303273,52.59704798,0
217574,car,11,10,10400835.0,2021,11,11,1,3,8,1,0,0,1,0,1,812035.6468,5829714.196,13.60086681,52.52795746,0
217575,bike,11,2,2500836.0,2021,10,15,6,2,0,7,0,1,0,0,0,803155.4037,5825742.064,13.46675101,52.49736666,1
217576,bike + car,11,2,2400521.0,2021,10,17,5,3,5,2,0,1,1,0,1,801247.6344,5827817.247,13.44061142,52.51702327,0
217577,car,11,6,6300525.0,2021,10,16,5,3,5,3,0,0,1,0,0,790244.9159,5814894.175,13.26768412,52.40713221,0
217578,bike + car,11,4,4501044.0,2021,11,8,4,3,5,2,0,1,1,0,1,793207.1286,5824549.012,13.3195814,52.49210723,0
217579,car,11,7,7300517.0,2021,11,14,5,3,0,7,0,0,1,0,0,794227.6931,5822043.216,13.33235862,52.46909488,0
217580,car,11,6,6300528.0,2021,10,14,4,3,2,6,0,0,1,0,0,790081.0432,5815799.589,13.26606639,52.41533645,0
217581,bike + pedestrian,11,11,11400929.0,2021,10,7,2,3,6,4,0,1,0,1,1,805002.2219,5826582.484,13.49464139,52.50387002,0
217582,car,11,7,7300619.0,2021,11,15,6,3,5,3,0,0,1,0,0,795302.4044,5821653.823,13.34778921,52.46502436,0
217584,car,11,2,2200210.0,2021,10,20,7,3,5,3,2,0,1,0,0,798902.0795,5825248.94,13.40384177,52.49529257,0
217586,car,11,12,12601235.0,2021,11,16,7,3,5,2,2,0,1,0,0,795279.246,5836365.42,13.36051697,52.59691423,0
217587,bike + car,11,4,4400728.0,2021,11,16,4,3,5,2,1,1,1,0,0,789646.15,5823293.614,13.26618832,52.4827535,0
217588,car,11,7,7501031.0,2021,11,16,1,3,2,2,2,0,1,0,1,798376.6832,5819792.42,13.39124533,52.44666893,0
217589,car,11,7,7501030.0,2021,10,18,4,3,2,6,2,0,1,0,0,797857.9301,5820148.969,13.38395299,52.45014787,0
217591,car,11,8,8200624.0,2021,11,20,3,2,5,3,2,0,1,0,1,801182.5908,5820607.225,13.43314131,52.45243393,1
217596,bike + car,11,1,1100308.0,2021,11,8,5,3,2,6,0,1,1,0,0,797031.8573,5828963.166,13.37968987,52.5296076,0
217598,car,11,5,5200528.0,2021,10,23,6,2,0,6,2,0,1,0,0,783659.2617,5825416.451,13.18007276,52.50493066,1
217600,bike + car,11,10,10200630.0,2021,10,7,6,3,5,2,0,1,1,0,0,811561.006,5828996.093,13.59322011,52.52179381,0
217601,bike,11,7,4501153.0,2021,11,15,2,3,0,1,1,1,0,0,1,793902.9657,5822964.088,13.32840339,52.4775249,0
217602,car + pedestrian,11,4,4300621.0,2021,11,14,2,3,6,7,0,0,1,1,0,792158.5611,5827225.533,13.30652985,52.51666392,0
217604,car + pedestrian,11,8,8100520.0,2021,10,18,2,3,6,2,2,0,1,1,0,803194.34,5822726.506,13.46458015,52.4703169,0
217606,bike,11,1,1100415.0,2021,11,21,1,2,0,1,2,1,0,0,1,798300.0997,5829371.235,13.39869632,52.53257287,1
217607,car + pedestrian,11,3,3601450.0,2021,11,9,5,3,6,2,0,0,1,1,0,802189.9931,5829405.043,13.45589963,52.53073331,0
217608,bike + car,11,5,5200528.0,2021,11,18,2,3,5,2,2,1,1,0,1,783922.8123,5826614.916,13.18496766,52.51553923,0
217610,bike + car,11,2,2400521.0,2021,10,18,2,3,1,5,2,1,1,0,0,801080.5599,5828002.557,13.43832435,52.5187765,0
217611,bike + car,11,3,3601142.0,2021,10,8,5,3,5,3,0,1,1,0,0,799178.0636,5831224.174,13.41326952,52.54870044,0
217613,car,11,3,3601141.0,2021,11,18,3,3,2,6,2,0,1,0,0,798803.1957,5831788.89,13.40826573,52.55396802,0
217614,bike + car,11,2,2300419.0,2021,11,18,5,3,1,5,2,1,1,0,1,801714.07,5825847.935,13.44567964,52.4991143,0
217615,car,11,1,1100102.0,2021,11,6,3,3,2,6,1,0,1,0,0,795191.8738,5827240.137,13.35111563,52.51516149,0
