name,code,codeEu,address,lat,lng,date,value,pollutant
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-29,37.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-29,38.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-29,39.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,40.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,41.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,42.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,42.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,43.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,44.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,44.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,44.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,45.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,45.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,44.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,44.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,44.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,43.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,43.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,42.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,42.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,41.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,41.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,40.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,40.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,40.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,39.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-28,39.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-27,38.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-27,38.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-27,37.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-27,36.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-27,36.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-27,35.0,pm10
010 Wedding,mc010,DEBE010,"13353 Wedding, Amrumer Str./Limburger Str.",52.54291000,13.34926000,2021-12-27,34.0,pm10
