y,x,osmid,highway,ref,geometry
52.544254,13.1683648,259270725,,,POINT (13.1683648 52.544254)
52.5542026,13.146929,259413005,,,POINT (13.146929 52.5542026)
52.5520044,13.5639458,259802481,,,POINT (13.5639458 52.5520044)
52.5937444,13.2634374,260220550,,,POINT (13.2634374 52.5937444)
52.4893774,13.141235,260648171,,,POINT (13.141235 52.4893774)
52.3995514,13.5440579,260826990,,,POINT (13.5440579 52.3995514)
52.523995,13.1448558,261583765,,,POINT (13.1448558 52.523995)
52.5161807,13.378267,262454196,,,POINT (13.378267 52.5161807)
52.5164514,13.3782144,262454197,,,POINT (13.3782144 52.5164514)
52.5316138,13.412681,262471606,,,POINT (13.412681 52.5316138)
52.611435,13.2516212,264193113,traffic_signals,,POINT (13.2516212 52.611435)
52.5697451,13.5285368,264548950,,,POINT (13.5285368 52.5697451)
52.5701155,13.5314621,264549851,,,POINT (13.5314621 52.5701155)
52.4795913,13.3450169,267368310,,,POINT (13.3450169 52.4795913)
52.4934468,13.3671749,268021311,,,POINT (13.3671749 52.4934468)
52.5129404,13.3508245,268845088,,,POINT (13.3508245 52.5129404)
52.5011138,13.4044379,268981776,,,POINT (13.4044379 52.5011138)
52.4946238,13.4003678,270442882,turning_circle,,POINT (13.4003678 52.4946238)
52.4959133,13.330246,270678996,,,POINT (13.330246 52.4959133)
52.5178979,13.3673299,270964294,,,POINT (13.3673299 52.5178979)
52.5668798,13.3466381,271370539,,,POINT (13.3466381 52.5668798)
52.4468017,13.6164359,271949158,,,POINT (13.6164359 52.4468017)
52.506325,13.2809083,275726797,,,POINT (13.2809083 52.506325)
52.5088487,13.2736677,275727007,,,POINT (13.2736677 52.5088487)
52.5094154,13.2740606,275727127,crossing,,POINT (13.2740606 52.5094154)
52.5099105,13.2734908,275727129,,,POINT (13.2734908 52.5099105)
52.5095969,13.2712756,275727138,,,POINT (13.2712756 52.5095969)
52.4114804,13.1850866,275957949,,,POINT (13.1850866 52.4114804)
52.4958961,13.5246824,276585516,,,POINT (13.5246824 52.4958961)
52.5474053,13.300622,277594900,,,POINT (13.300622 52.5474053)
52.4976751,13.1533989,278199680,,,POINT (13.1533989 52.4976751)
52.5722102,13.4285553,278219565,,,POINT (13.4285553 52.5722102)
52.5722733,13.4289481,278219604,crossing,,POINT (13.4289481 52.5722733)
52.4284332,13.2195515,278749802,,,POINT (13.2195515 52.4284332)
52.4261604,13.2209525,278749805,,,POINT (13.2209525 52.4261604)
52.4973815,13.2837873,280330311,,,POINT (13.2837873 52.4973815)
52.5740152,13.3522738,280414948,,,POINT (13.3522738 52.5740152)
52.5058333,13.1638266,282662626,,,POINT (13.1638266 52.5058333)
52.5111699,13.4011537,283038326,,,POINT (13.4011537 52.5111699)
52.5112084,13.4013122,283045467,,,POINT (13.4013122 52.5112084)
52.4966047,13.330861,283456532,crossing,,POINT (13.330861 52.4966047)
52.5073372,13.5656508,286031542,,,POINT (13.5656508 52.5073372)
52.5055103,13.5724561,286033278,,,POINT (13.5724561 52.5055103)
52.5744691,13.2405282,287368534,,,POINT (13.2405282 52.5744691)
52.5972304,13.3155805,294851287,,,POINT (13.3155805 52.5972304)
52.5323629,13.5499675,296389915,,,POINT (13.5499675 52.5323629)
52.4158231,13.1760958,299950515,,,POINT (13.1760958 52.4158231)
52.6085629,13.4299677,300467351,,,POINT (13.4299677 52.6085629)
52.474243,13.3629585,304510227,,,POINT (13.3629585 52.474243)
52.525737,13.5217865,306355659,,,POINT (13.5217865 52.525737)
52.5875924,13.2745296,307667239,,,POINT (13.2745296 52.5875924)
52.5479682,13.5587073,312368404,,,POINT (13.5587073 52.5479682)
52.506615,13.280359,313373300,crossing,,POINT (13.280359 52.506615)
52.506262,13.2803939,313373314,crossing,,POINT (13.2803939 52.506262)
52.5062841,13.2801737,313373315,crossing,,POINT (13.2801737 52.5062841)
52.5417741,13.2326207,313672325,turning_circle,,POINT (13.2326207 52.5417741)
52.4842449,13.4288234,322650958,,,POINT (13.4288234 52.4842449)
52.4139233,13.3616975,324803189,,,POINT (13.3616975 52.4139233)
52.4669614,13.3161795,338886168,,,POINT (13.3161795 52.4669614)
52.5544431,13.5516081,345383999,,,POINT (13.5516081 52.5544431)
52.4104289,13.6653862,350432229,,,POINT (13.6653862 52.4104289)
52.5240392,13.1440271,354513906,,,POINT (13.1440271 52.5240392)
52.5553382,13.3610127,358997511,crossing,,POINT (13.3610127 52.5553382)
52.5659641,13.3590482,359011784,turning_circle,,POINT (13.3590482 52.5659641)
52.5026038,13.4173402,359541354,,,POINT (13.4173402 52.5026038)
