osmid,lanes,name,highway,maxspeed,oneway,length,geometry,width,bridge,ref,access,tunnel,junction,service,area,est_width,u,v,key
"[11406337, 24912614, 678030953, 678030955, 309600205, 335398606, 309600207, 188491279, 11406328]","['5', '3', '4']","['Schillstraße', 'Kurfürstenstraße', 'Lützowplatz']","['secondary', 'primary']",50,True,894.514,"LINESTRING (13.3517535 52.5054474, 13.3516715 52.5052953, 13.3515345 52.5050794, 13.351379 52.5048804, 13.3511801 52.504629, 13.3510446 52.5044643, 13.3509779 52.5043729, 13.3509502 52.5043353, 13.3506097 52.5039061, 13.3503 52.503599, 13.3499925 52.5033665, 13.349951 52.5033351, 13.3498228 52.5032382, 13.3496113 52.5032854, 13.3492241 52.5033717, 13.3489795 52.5034244, 13.3480717 52.5036237, 13.3471205 52.5038144, 13.3467184 52.503895, 13.3462614 52.5039814, 13.3462057 52.5039919, 13.3460076 52.5040294, 13.3457653 52.5040826, 13.3448022 52.5042942, 13.3443996 52.5043827, 13.3435117 52.504609, 13.3433498 52.5046492, 13.3431445 52.5046984, 13.3429673 52.5047359, 13.3424933 52.5048396, 13.3421333 52.5049217, 13.3414541 52.5050945, 13.3414081 52.5051052, 13.3412993 52.5051384)",,,,,,,,,,26704702,26704073,0
25219761,,Neues Ufer,tertiary,50,False,434.854,"LINESTRING (13.3159979 52.5257869, 13.3159553 52.5259111, 13.3159387 52.5259595, 13.3157004 52.5267234, 13.3152304 52.5280147, 13.3152265 52.5280259, 13.3151703 52.5281884, 13.3150372 52.5285382, 13.3148748 52.5289648, 13.3146415 52.5296092)",,,,,,,,,,26736367,26682565,0
"[4469836, 4469837, 23720975, 25219763, 25219764, 437325043, 437325045]","['2', '4']","['Kaiserin-Augusta-Brücke', 'Kaiserin-Augusta-Allee']",secondary,50,False,574.3660000000001,"LINESTRING (13.3159979 52.5257869, 13.31589 52.5257859, 13.3158268 52.5257854, 13.3157034 52.5257844, 13.3150426 52.5257791, 13.314896 52.5257771, 13.3147244 52.5257747, 13.3143019 52.5257674, 13.3142158 52.5257659, 13.3138531 52.5257597, 13.3138188 52.5257591, 13.3135317 52.5257606, 13.3119868 52.5257505, 13.3118369 52.5257499, 13.3102747 52.5257367, 13.310121 52.5257354, 13.3100385 52.5257347, 13.3098765 52.5257333, 13.3097492 52.5257327, 13.3096722 52.5257324, 13.3094958 52.5257316, 13.3080482 52.5257252, 13.3075087 52.5257228)",,yes,,,,,,,,26736367,30427948,0
"[182604673, 25219762, 437325044, 437325042]","['5', '4']","['Kaiserin-Augusta-Allee', 'Alt-Moabit']",secondary,50,False,948.1550000000002,"LINESTRING (13.3159979 52.5257869, 13.3161564 52.5257886, 13.3162652 52.5257897, 13.3166275 52.5257935, 13.316813 52.5257954, 13.3175859 52.5258035, 13.3176383 52.525804, 13.3180676 52.5258085, 13.3181431 52.5258093, 13.3183011 52.525811, 13.3184496 52.5258116, 13.3185766 52.5258122, 13.3186224 52.5258124, 13.3192843 52.5258207, 13.3195408 52.5258239, 13.3196683 52.5258259, 13.3204143 52.5258394, 13.3206531 52.5258375, 13.3209053 52.5258304, 13.3211709 52.5258002, 13.3211957 52.5257974, 13.32127 52.5257887, 13.3213615 52.5257759, 13.322397 52.5256477, 13.3231977 52.5255486, 13.323289 52.5255373, 13.3239507 52.5254138, 13.3244213 52.5253071, 13.3247282 52.5252288, 13.3248083 52.5252084, 13.3250488 52.525147, 13.3256522 52.5249948, 13.326202 52.5248221, 13.3263994 52.5247494, 13.3264514 52.5247302, 13.3269556 52.5245443, 13.3272718 52.5244278, 13.3273266 52.5244076, 13.3274511 52.5243617, 13.3276399 52.5243103, 13.3277264 52.5242867, 13.3285226 52.52407, 13.3289112 52.5239711, 13.3293445 52.5238568)",,,,,,,,,,26736367,1929624603,0
"[834775952, 834775953, 840657762]",,Forckenbeckstraße,residential,50,False,954.7229999999998,"LINESTRING (13.2958637 52.4811837, 13.2960544 52.4811601, 13.2963546 52.4811246, 13.2965542 52.481101, 13.2966981 52.481084, 13.2968595 52.481064, 13.296938 52.4810541, 13.2971532 52.481027, 13.2973549 52.4809977, 13.2975712 52.4809686, 13.2982022 52.4808755, 13.2994369 52.4806905, 13.2994704 52.4806855, 13.3001933 52.4805769, 13.3006988 52.4804997, 13.3018108 52.4803334, 13.3027013 52.4801996, 13.3029912 52.4801558, 13.3038342 52.4800323, 13.3040091 52.4800057, 13.3052863 52.4798113, 13.3055092 52.4797799, 13.3056786 52.4797564, 13.3060719 52.4796951, 13.3069203 52.4795683, 13.3082123 52.4793762, 13.3088102 52.4792856, 13.3089373 52.4792665, 13.3093808 52.4792027, 13.3095685 52.4791742)",,,,,,,,,,26738437,559770136,0
4368305,,Forckenbeckstraße,residential,50,False,405.166,"LINESTRING (13.2958637 52.4811837, 13.2956654 52.4811946, 13.2953183 52.4812296, 13.2941783 52.4813991, 13.2924974 52.4816491, 13.2914488 52.4818147, 13.2908012 52.4819137, 13.2906199 52.4819747, 13.2903309 52.4820904, 13.2902581 52.4821195, 13.2901434 52.4821654)",,,,,,,,,,26738437,26624544,0
4486628,,Cunostraße,residential,30,False,776.8579999999998,"LINESTRING (13.2958637 52.4811837, 13.2958517 52.481051, 13.2958034 52.4806984, 13.2957464 52.480256, 13.295692 52.4798342, 13.2956385 52.4794195, 13.2956312 52.4793396, 13.2955825 52.4789754, 13.2955713 52.4788916, 13.2955549 52.4787817, 13.2954806 52.4781471, 13.2954429 52.477835, 13.2953779 52.4772968, 13.2953549 52.4771278, 13.2953442 52.4770418, 13.2953275 52.4769456, 13.2952623 52.4764237, 13.295175 52.4758219, 13.2951452 52.4756163, 13.2951288 52.4755035, 13.2951231 52.4754639, 13.2950907 52.4753498, 13.2950604 52.475248, 13.2950473 52.4752205, 13.2946305 52.4743478, 13.294605 52.4742985, 13.2945848 52.4742602)",,,,,,,,,,26738437,8223357668,0
4486628,,Cunostraße,residential,30,False,491.07100000000014,"LINESTRING (13.2958637 52.4811837, 13.2958752 52.4812864, 13.2958909 52.4813941, 13.2959051 52.4814913, 13.2959137 52.481559, 13.2959618 52.4819365, 13.2960687 52.4827507, 13.2960777 52.4828289, 13.2961771 52.4836319, 13.2961927 52.4836924, 13.2962487 52.4840015, 13.2964817 52.4852869, 13.2964809 52.4853594, 13.2964765 52.4854046, 13.2964683 52.485416, 13.2964357 52.4854614, 13.2964104 52.4854966, 13.2963307 52.4855564)",,,,,,,,,,26738437,26744447,0
665160275,,Dillenburger Straße,residential,30,False,126.236,"LINESTRING (13.3050063 52.4698313, 13.3048882 52.4699207, 13.3038265 52.4707101)",,,,,,,,,,26738731,26738736,0
665160275,,Dillenburger Straße,residential,30,False,126.236,"LINESTRING (13.3038265 52.4707101, 13.3048882 52.4699207, 13.3050063 52.4698313)",,,,,,,,,,26738736,26738731,0
